"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 스포티지 4세대 (15년~18년) 디젤 2.0 2WD 노블레스",3632,56구0704,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240244/AT1763969442175pl_M.jpg,201942,790,"기아 스포티지 4세대 (15년~18년) 디젤 2.0 2WD 노블레스",검정,2016,"오토허브 경매장",,AC
"현대 팰리세이드 가솔린 3.8 4WD 캘리그래피",3633,244무1795,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240000/AT1763964405021a8_M.jpg,63434,2950,"현대 팰리세이드 가솔린 3.8 4WD 캘리그래피",검정,2022,"오토허브 경매장",,BB
"기아 레이 (11년~17년) 프레스티지",3634,68로9989,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240092/AT176396164697420_M.jpg,138357,440,"기아 레이 (11년~17년) 프레스티지",기타,2012,"오토허브 경매장",,BC
"포드 익스플로러 3.5 리미티드 4WD",3635,23더9803,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240073/AT176396460259804_M.jpg,199406,450,"포드 익스플로러 3.5 리미티드 4WD",검정,2015,"오토허브 경매장",,BC
"BMW 1시리즈 118d 어반 5도어 팩1 (F20)",3636,31루1435,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240089/AT176396238848932_M.jpg,147435,550,"BMW 1시리즈 118d 어반 5도어 팩1 (F20)",검정,2013,"오토허브 경매장",,AC
"폭스바겐 더 뉴 파사트 2.0 TSI B7 (14년~현재)",3637,49수4782,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240234/AT1763968271770e2_M.jpg,109364,900,"폭스바겐 더 뉴 파사트 2.0 TSI B7 (14년~현재)",흰색,2018,"오토허브 경매장",,AB
"벤츠 GLC-클래스 X253(16년~현재) GLC220 d 4MATIC 프리미엄",3638,04러0333,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240235/AT176396971646303_M.jpg,93539,2170,"벤츠 GLC-클래스 X253(16년~현재) GLC220 d 4MATIC 프리미엄",흰색,2016,"오토허브 경매장",,AB
"기아 더 뉴 카니발(18년~현재) 가솔린 9인승 노블레스 스페셜",3639,42루3166,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240233/AT17639716491272f_M.jpg,79648,1680,"기아 더 뉴 카니발(18년~현재) 가솔린 9인승 노블레스 스페셜",검정,2019,"오토허브 경매장",,AB
"아우디 NEW A8 60 TFSI 콰트로 LWB D4 (14년~17년)",3640,22너9317,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511250013/AT1764036308941yp_M.jpg,243904,950,"아우디 NEW A8 60 TFSI 콰트로 LWB D4 (14년~17년)",검정,2015,"오토허브 경매장",,BB
"현대 포터2 1톤 카고(화물)트럭 CRDi 슈퍼캡 초장축 스마트",3641,85도0763,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240174/AT1763964977707b3_M.jpg,222029,690,"현대 포터2 1톤 카고(화물)트럭 CRDi 슈퍼캡 초장축 스마트",흰색,2018,"오토허브 경매장",,CD
"쉐보레(한국GM) 스파크 (11년~15년) LT 기본형",3642,51너6263,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240245/AT176397111118706_M.jpg,128980,200,"쉐보레(한국GM) 스파크 (11년~15년) LT 기본형",기타,2013,"오토허브 경매장",,BD
"폭스바겐 뉴비틀 2.0 9C (98년~12년)",3643,55수7823,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511250041/AT17640438949511c_M.jpg,144038,210,"폭스바겐 뉴비틀 2.0 9C (98년~12년)",흰색,2011,"오토허브 경매장",,AB
"현대 쏘나타 뉴 라이즈 (17년~현재) LPI택시형 스타일",3644,244무1711,오토,영업용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240254/AT1763969537834m2_M.jpg,254712,900,"현대 쏘나타 뉴 라이즈 (17년~현재) LPI택시형 스타일",기타,2021,"오토허브 경매장",,CC
"기아 더 뉴 카니발(18년~현재) 디젤 9인승 프레스티지",3645,119머1724,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240183/AT176396507230789_M.jpg,179138,1145,"기아 더 뉴 카니발(18년~현재) 디젤 9인승 프레스티지",기타,2019,"오토허브 경매장",,CB
"쉐보레(한국GM) 어메이징 뉴 크루즈 (15년~현재) 1.8 LTZ",3646,59마0357,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240211/AT176396768653565_M.jpg,116793,130,"쉐보레(한국GM) 어메이징 뉴 크루즈 (15년~현재) 1.8 LTZ",기타,2015,"오토허브 경매장",,BB
"벤츠 NEW E-클래스 E220 블루텍 아방가르드 스포츠 W212 (15년~17년)",3647,56두3877,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240177/AT1763964941635s9_M.jpg,231744,820,"벤츠 NEW E-클래스 E220 블루텍 아방가르드 스포츠 W212 (15년~17년)",은색,2015,"오토허브 경매장",,BB
"기아 봉고3 1톤 카고(화물)트럭 더블캡 CRDI",3648,81버9811,수동,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240201/AT1763966757906e2_M.jpg,144381,420,"기아 봉고3 1톤 카고(화물)트럭 더블캡 CRDI",흰색,2014,"오토허브 경매장",,BC
